Symbol,Company,DividendScore,FinancialScore,ProfitScore,TotalScore,MarketCap,Problem,AvgGrowthRate,CumulativeDividend
6750.T,"Elecom Co., Ltd.",40,30,30,100,163493396480.0,,0.09359463086735076,累進
3088.T,MatsukiyoCocokara & Co.,40,30,30,100,1024794034176.0,,0.1402460520997382,累進
1766.T,Token Corporation,40,30,30,100,154080903168.0,,0.1590691439814247,累進
6420.T,Galilei Holdings Co.Ltd.,40,30,30,100,140910903296.0,,0.20097790285458597,累進
6432.T,"Takeuchi Mfg. Co., Ltd.",40,30,30,100,353375813632.0,,0.28775641098075017,累進
7564.T,"Workman Co.,Ltd.",40,30,30,100,509265903616.0,,0.1434474056448329,累進
6947.T,Zuken Inc.,40,30,30,100,106854080512.0,,0.2070579346346459,累進
7419.T,Nojima Corporation,40,30,30,100,373706096640.0,,0.16788099396662318,累進
2317.T,Systena Corporation,40,30,30,100,166931873792.0,,0.2247705816333267,累進
6005.T,"Miura Co., Ltd.",40,30,30,100,374912188416.0,,0.14162906696458388,累進
7164.T,"ZENKOKU HOSHO Co.,Ltd.",40,30,30,100,428918505472.0,,0.2223966415008147,累進
9974.T,"Belc CO., LTD.",40,30,30,100,142066712576.0,,0.09351474066779256,累進
8198.T,"Maxvalu Tokai Co.,Ltd.",40,30,30,100,106977673216.0,,0.08931175950119585,累進
4507.T,"Shionogi & Co., Ltd.",40,30,30,100,2510971469824.0,,0.12776930292743197,累進
8130.T,Sangetsu Corporation,40,30,30,100,190778376192.0,,0.14808358337736738,累進
7864.T,"Fuji Seal International, Inc.",40,30,30,100,178968657920.0,,0.17968775518194122,累進
4733.T,"OBIC Business Consultants Co., Ltd.",40,30,30,100,655465709568.0,,0.13290169869117238,累進
7649.T,"Sugi Holdings Co.,Ltd.",40,30,30,100,490254467072.0,,0.09287658012326633,累進
7701.T,Shimadzu Corporation,40,30,30,100,1171941097472.0,,0.15779378704675817,累進
3626.T,TISI Inc.,40,30,30,100,851130187776.0,,0.24606389362266487,累進
9347.T,"NIPPON KANZAI Holdings Co.,Ltd.",40,30,30,100,105185468416.0,,0.03167182214902257,累進
9934.T,"Inaba Denki Sangyo Co.,Ltd.",40,30,30,100,354961817600.0,,0.120708594238006,累進
3148.T,"Create SD Holdings Co., Ltd.",40,30,30,100,219324678144.0,,0.13163868144306332,累進
3349.T,COSMOS Pharmaceutical Corporation,40,30,30,100,513666056192.0,,0.18131405831066638,累進
9989.T,"Sundrug Co.,Ltd.",40,30,30,100,433889574912.0,,0.12890371799212313,累進
417A.T,"Blue Zones Holdings Co.,Ltd.",40,30,30,100,378973061120.0,,0.12549361002795165,累進
9037.T,"Hamakyorex Co., Ltd.",40,30,30,100,138906763264.0,,0.1788198185257009,累進
2782.T,"Seria Co., Ltd.",40,30,30,100,274187976704.0,,0.24272209272209277,累進
1926.T,"Raito Kogyo Co., Ltd.",40,30,30,100,159695388672.0,,0.22034974902022236,累進
6454.T,"Max Co., Ltd.",40,30,30,100,329374957568.0,,0.13212699226205465,累進
2875.T,"Toyo Suisan Kaisha, Ltd.",40,30,30,100,1019913633792.0,,0.15862573099415203,累進
9790.T,"Fukui Computer Holdings,Inc.",40,27,30,97,64299835392.0,,0.15350585628363406,累進
9928.T,"Miroku Jyoho Service Co., Ltd.",40,27,30,97,62103662592.0,,0.14697957675597856,累進
5195.T,"Bando Chemical Industries, Ltd.",37,30,30,97,101974515712.0,,0.16847982961466967,
9692.T,Computer Engineering & Consulting Ltd.,40,27,30,97,77904429056.0,,0.1734020095131206,累進
6381.T,ANEST IWATA Corporation,40,27,30,97,76920324096.0,,0.13927501874706844,累進
9880.T,Innotech Corporation,40,27,30,97,41965162496.0,,0.23977072310405642,累進
7745.T,"A&D HOLON Holdings Company, Limited",40,27,30,97,79231516672.0,,0.16441798941798944,累進
7508.T,G-7 Holdings Inc.,40,27,30,97,63395917824.0,,0.1498664306768749,累進
7552.T,Happinet Corporation,37,30,30,97,168052834304.0,,0.20396221062887732,
5161.T,"Nishikawa Rubber Co., Ltd.",37,30,30,97,137768878080.0,,0.33813329620347166,
4687.T,TDC SOFT Inc.,40,27,30,97,48895016960.0,,0.22408910533910534,累進
4718.T,"Waseda Academy Co., Ltd.",40,27,30,97,46755033088.0,,0.18356812269855746,累進
3371.T,Softcreate Holdings Corp.,40,27,30,97,55298666496.0,,0.23386863801590937,累進
1928.T,"Sekisui House, Ltd.",37,30,30,97,2249386622976.0,,0.10698140260872498,
2742.T,"Halows Co.,Ltd.",40,27,30,97,84539195392.0,,0.13732255398922066,累進
2726.T,"PAL GROUP Holdings CO., LTD.",37,30,30,97,261315330048.0,,0.212729536258948,
2670.T,"ABC-Mart,Inc.",37,30,30,97,668564914176.0,,0.07677886677381339,
4323.T,"Japan System Techniques Co., Ltd.",40,27,30,97,48364515328.0,,0.24930114638447975,累進
8771.T,"eGuarantee, Inc.",40,27,30,97,77632724992.0,,0.1983710008219812,累進
4290.T,Prestige International Inc.,40,27,30,97,88811159552.0,,0.2471342173096559,累進
8739.T,"SPARX Group Co., Ltd.",37,30,30,97,102932979712.0,,0.16911175244508575,
3153.T,"Yashima Denki Co., Ltd.",40,27,30,97,66068840448.0,,0.10498396665063331,累進
9956.T,"Valor Holdings Co., Ltd.",40,25,30,95,192219217920.0,,0.07742501814031078,累進
1417.T,MIRAIT ONE Corporation,40,30,25,95,321866530816.0,,0.12235449735449734,累進
3921.T,NEOJAPAN Inc.,40,25,30,95,23465918464.0,,0.4896836389483448,累進
8273.T,"Izumi Co., Ltd.",40,30,25,95,219033010176.0,,0.036266808620907344,累進
2815.T,"ARIAKE JAPAN Co., Ltd.",40,30,25,95,173572882432.0,,0.13331175904705317,累進
3837.T,Ad-Sol Nissin Corporation,40,25,30,95,23574280192.0,,0.16960336162016834,累進
6455.T,Morita Holdings Corporation,40,30,25,95,103385202688.0,,0.1290749768380059,累進
6448.T,"Brother Industries, Ltd.",35,30,30,95,1249493516288.0,,0.1320610895430297,
9627.T,Ain Holdings Inc.,40,25,30,95,218281000960.0,,0.08602693602693602,累進
8037.T,Kamei Corporation,40,30,25,95,143825977344.0,,0.20550341105896663,累進
8066.T,Mitani Corporation,35,30,30,95,293938692096.0,,0.30528409890280944,
8085.T,"Narasaki Sangyo Co., Ltd.",40,25,30,95,21342498816.0,,0.13411742578409244,累進
4516.T,"Nippon Shinyaku Co., Ltd.",35,30,30,95,239205892096.0,,0.1854303881981729,
4527.T,"Rohto Pharmaceutical Co.,Ltd.",35,30,30,95,688513155072.0,,0.17826582535706795,
4540.T,Tsumura & Co.,40,30,25,95,283272740864.0,,0.1067346003035669,累進
4617.T,"Chugoku Marine Paints, Ltd.",35,30,30,95,176772923392.0,,0.26074786468863315,
4345.T,"CTS Co., Ltd.",40,25,30,95,34450833408.0,,0.21040622351237878,累進
4220.T,Riken Technos Corporation,35,30,30,95,121964388352.0,,0.20703392468098347,
4299.T,"HIMACS, Ltd.",40,25,30,95,12872296448.0,,0.13410789056300534,累進
8255.T,Axial Retailing Inc.,40,30,25,95,112724361216.0,,0.0716307566797763,累進
8111.T,Goldwin Inc.,35,30,30,95,290993012736.0,,0.43622394890641236,
