Symbol,Company,CurrentPrice,TotalScore,DividendYield,AvgYield2Y,MaxYield2Y,MarketCap,SizeCategory,SectorJP,SplitFlag,BuySignal,Problem,AvgGrowthRate,CumulativeDividend
1982.T,"Hibiya Engineering, Ltd.",3130.0,86,0.023961661341853034,0.025096269983873484,0.03579226921938249,127722708992.0,中型,資本財・サービス,Split,×,,0.0969632617721364,累進
9948.T,ARCS Company Limited,3430.0,90,0.0239067055393586,0.021119921143652316,0.03148008983531623,180087586816.0,中型,一般消費財・サービス,,△,,0.0724185394093852,
1721.T,COMSYS Holdings Corporation,5444.0,87,0.02387950036737693,0.026402589524870318,0.04211319617927616,624004038656.0,大型,資本財・サービス,,×,現金比率低い,0.1318699818699819,累進
2668.T,Tabio Corporation,1268.0,80,0.02365930599369085,0.025460139228748693,0.02783353381345122,8549404672.0,超小型,一般消費財・サービス,,×,,0.0185185185185185,
6258.T,Hirata Corporation,2977.0,81,0.0235136042996305,0.028515576987555368,0.036634488137337294,92948914176.0,小型,資本財・サービス,,×,,0.3582288696066628,
1959.T,Kraftia Corporation,9357.0,92,0.02351180934060062,0.024608239978389766,0.03974332436348582,660380319744.0,大型,資本財・サービス,,×,現金比率低い,0.1393567784872132,累進
7614.T,"OM2 Network Co.,Ltd.",1533.0,90,0.023483365949119372,0.02391840457848488,0.025525090428549304,10195296256.0,超小型,生活必需品,,×,,0.0425925925925925,累進
9042.T,"Hankyu Hanshin Holdings, Inc.",4265.0,82,0.023446658851113716,0.016680641375590683,0.022671100981254345,980425179136.0,大型,資本財・サービス,,△,現金比率低い,0.1008377425044091,累進
9790.T,"Fukui Computer Holdings,Inc.",3115.0,97,0.023434991974317816,0.024033783571360424,0.02609380665246457,63576203264.0,小型,情報技術,,×,,0.153505856283634,累進
9740.T,"Central Security Patrols Co., Ltd.",2567.0,85,0.02337358784573432,0.018363254954181354,0.027802546711468708,35536351232.0,超小型,資本財・サービス,,△,,0.0731481481481481,
8771.T,"eGuarantee, Inc.",1720.0,97,0.023255813953488372,0.024528289530774922,0.02623738224496233,75463917568.0,小型,金融,,×,,0.1983710008219812,累進
4403.T,NOF Corporation,2626.5,95,0.02322482391014658,0.018601747684407657,0.028915195881391787,581119574016.0,大型,素材,,△,,0.1829564142026004,
9428.T,Crops Corporation,1252.0,90,0.0231629392971246,0.020892151482184203,0.023848684210526317,11820132352.0,超小型,コミュニケーション・サービス,,△,,0.1375972611266729,累進
6626.T,SEMITEC Corporation,2030.0,86,0.02315270935960591,0.023691114333346044,0.031035810711105363,19297497088.0,超小型,情報技術,,×,,0.3327920227920228,
7730.T,"Mani, Inc.",1730.0,82,0.023121387283236993,0.022488705403466768,0.037741702154452876,167848427520.0,中型,ヘルスケア,,△,,0.169772625116446,累進
4718.T,"Waseda Academy Co., Ltd.",2379.0,97,0.023118957545187054,0.02374205574046629,0.034189425359313456,42339995648.0,小型,生活必需品,,×,,0.1835681226985574,累進
9502.T,"Chubu Electric Power Company, Incorporated",3044.0,87,0.022996057818659658,0.02725096264059089,0.04393340617064359,2265802866688.0,超大型,公益事業,,×,,0.0962962962962962,累進
8006.T,"Yuasa Funashoku Co., Ltd.",1441.0,87,0.022900763358778626,0.025812725181781265,0.033954879221226274,25610577920.0,超小型,生活必需品,Split,×,,0.0587301587301587,
9037.T,"Hamakyorex Co., Ltd.",1825.0,100,0.02287671232876712,0.0212706140971564,0.03240559654779129,133472264192.0,中型,資本財・サービス,,△,,0.1788198185257009,累進
6005.T,"Miura Co., Ltd.",3162.0,100,0.022770398481973434,0.01922594380361319,0.026847273749313855,365650903040.0,大型,資本財・サービス,,△,,0.1416290669645838,累進
8001.T,ITOCHU Corporation,1849.5,82,0.0227088402270884,0.02077347447900835,0.03397644356595467,12816005201920.0,超大型,資本財・サービス,Split,△,現金比率低い,0.1659104585144394,
2303.T,Dawn Corp.,1239.0,72,0.022598870056497175,0.01684734977774547,0.023236514522821577,7259318784.0,超小型,情報技術,Split,△,,0.2306878306878307,累進
7951.T,Yamaha Corporation,1151.0,81,0.022589052997393572,0.019314595248262036,0.028144189020830192,503242129408.0,大型,一般消費財・サービス,,△,,0.046462720960529,累進
3288.T,"Open House Group Co., Ltd.",8606.0,74,0.022542412270508946,0.021608587272256324,0.03692332250346171,951296720896.0,大型,不動産,,△,,0.2518641382233584,累進
7643.T,"Daiichi Co.,Ltd.",1689.0,72,0.022498519834221433,0.018992942627283228,0.028097801905694695,18968729600.0,超小型,生活必需品,,△,,0.1682033447384324,累進
9409.T,TV Asahi Holdings Corporation,3120.0,90,0.022435897435897436,0.02125080799118608,0.03455086615461766,312174641152.0,大型,コミュニケーション・サービス,,△,,0.074074074074074,
3850.T,NTT Data Intramart Corporation,2942.0,92,0.022433718558803536,0.018308709765798483,0.025963808025177025,14127590400.0,超小型,情報技術,,△,,0.3203890568084941,
9824.T,"Senshu Electric Co.,Ltd.",6930.0,76,0.022366522366522368,0.026785955156116974,0.04534789898401221,120998019072.0,中型,情報技術,,×,,0.2688777272110605,累進
2229.T,"Calbee, Inc.",2961.5,95,0.022286003714333952,0.022377623879286136,0.02381811620353663,352300826624.0,大型,生活必需品,,×,,0.0596845746845746,累進
8418.T,"Yamaguchi Financial Group, Inc.",2876.0,77,0.022253129346314324,0.02816975249257247,0.04818884794171008,585787375616.0,大型,金融,,×,自己資本比率低い,0.1529456138218423,累進
6363.T,"Torishima Pump Mfg. Co., Ltd.",2836.0,84,0.02221438645980254,0.023727209518706296,0.036792612379882954,73317965824.0,小型,資本財・サービス,,×,,0.1863622818220519,
1979.T,Taikisha Ltd.,4960.0,81,0.02217741935483871,0.028544369102591737,0.042083551270752924,311848009728.0,大型,資本財・サービス,,×,,0.111994205304347,
6849.T,Nihon Kohden Corporation,1444.0,82,0.0221606648199446,0.015441937362099081,0.02140067370193351,228200742912.0,中型,ヘルスケア,,△,,0.0860007543574355,
4684.T,"OBIC Co.,Ltd.",3812.0,100,0.022035676810073453,0.014387678567905696,0.018022732579491867,1588866580480.0,超大型,情報技術,,△,,0.1762550613996765,累進
1417.T,MIRAIT ONE Corporation,3862.0,95,0.022009321595028483,0.024516132261154892,0.04219958376075844,343853465600.0,大型,資本財・サービス,,×,,0.1223544973544973,累進
9823.T,Mammy Mart Holdings Corporation,1029.0,79,0.021963070942662782,0.015831548109085786,0.02736486696069943,50022248448.0,小型,生活必需品,Split,△,,0.2214923571930547,累進
9435.T,"Hikari Tsushin, Inc.",35080.0,76,0.021807297605473203,0.015574570736471512,0.02253611521512041,1578060349440.0,超大型,資本財・サービス,,△,,0.1438866630865239,累進
3199.T,"Watahan & Co.,Ltd.",1377.0,59,0.02178649237472767,0.021110574825993253,0.023273855702094646,25359638528.0,超小型,一般消費財・サービス,,△,,0.1013061794935196,累進
5715.T,"Furukawa Co.,Ltd.",3675.0,84,0.021768707482993196,0.025101754782124577,0.047415517750183954,117727256576.0,中型,素材,,×,,0.0581699346405228,
2903.T,"Shinobu Foods Products Co., Ltd.",1478.0,90,0.02165087956698241,0.020836512350758056,0.03808664655354335,15480387584.0,超小型,生活必需品,,△,,0.0827941178298375,
6454.T,"Max Co., Ltd.",1718.0,100,0.021536670547147845,0.02632764097533193,0.03528198903663934,307303350272.0,大型,資本財・サービス,Split,×,,0.1321269922620546,累進
2749.T,"Jp-Holdings,Inc.",586.0,94,0.021331058020477817,0.021212842954766317,0.024056942889538524,49413402624.0,小型,資本財・サービス,,△,,0.1479677479677479,
9347.T,"NIPPON KANZAI Holdings Co.,Ltd.",2677.0,97,0.02129249159506911,0.01615099962296012,0.022044111344768132,95814664192.0,小型,不動産,,△,,0.0316718221490225,累進
2875.T,"Toyo Suisan Kaisha, Ltd.",10420.0,100,0.02111324376199616,0.018359804088720004,0.02548626435951263,997272256512.0,大型,生活必需品,,△,,0.158625730994152,累進
4553.T,"Towa Pharmaceutical Co., Ltd.",3790.0,80,0.021108179419525065,0.021141005376491592,0.03458336741397825,184604508160.0,中型,ヘルスケア,,×,ROE低い,0.1193931831697266,
1780.T,Yamaura Corporation,1424.0,71,0.021067415730337078,0.018905988899567468,0.02861640898786197,27225690112.0,超小型,資本財・サービス,,△,,0.237037037037037,累進
8331.T,"The Chiba Bank, Ltd.",2472.5,73,0.021031344792719918,0.027022923002151165,0.045978582242451514,1706769776640.0,超大型,金融,,×,営業CF合計マイナス/自己資本比率低い,0.1416671411351172,累進
4771.T,"F&M Co.,Ltd.",2448.0,95,0.020833333333333332,0.018585910879525422,0.02897435017079815,35561177088.0,超小型,資本財・サービス,,△,,0.0834413959076627,累進
9551.T,"METAWATER Co., Ltd.",3395.0,92,0.020618556701030927,0.020543755791103548,0.035996789252828475,156082143232.0,中型,資本財・サービス,,△,,0.0910978996490676,累進
9319.T,"Chuo Warehouse Co.,Ltd.",1844.0,80,0.020607375271149676,0.021215223143022106,0.030567407707261886,32390070272.0,超小型,資本財・サービス,,×,ROE低い,0.0597660758477671,
255A.T,"Gltechno Holdings, Inc.",5970.0,88,0.020603015075376884,0.037834934539438966,0.04390228168213278,76046958592.0,小型,情報技術,,×,,0.2439085605752272,
9842.T,Arclands Corporation,1944.0,84,0.0205761316872428,0.017949606457239208,0.026564287797727477,118861144064.0,中型,一般消費財・サービス,,△,,0.0566137566137566,累進
3088.T,MatsukiyoCocokara & Co.,2438.5,100,0.02050440844781628,0.01550631693324498,0.02227329398360047,938460381184.0,大型,ヘルスケア,,△,,0.1402460520997382,累進
6960.T,"Fukuda Denshi Co., Ltd.",11230.0,76,0.020480854853072127,0.024591312749264207,0.035449155776105,293392515072.0,中型,ヘルスケア,,×,,0.1285131428466107,累進
6745.T,Hochiki Corporation,1955.0,95,0.020456947826086955,0.026376894275045047,0.04424309618160613,144062595072.0,中型,資本財・サービス,Split,×,,0.2331357206059334,
2782.T,"Seria Co., Ltd.",3700.0,100,0.02027027027027027,0.019181270337020846,0.029299271023264163,232824750080.0,中型,生活必需品,,△,,0.2427220927220927,累進
6086.T,"Shin Maint Holdings Co.,Ltd.",988.0,92,0.020242914979757085,0.01980035037694725,0.023695306902149386,18542297088.0,超小型,資本財・サービス,,△,,0.2818829349721122,
4901.T,FUJIFILM Holdings Corporation,3513.0,87,0.019925989183034443,0.018214236049992578,0.027566752412162946,4108095586304.0,超大型,資本財・サービス,,△,現金比率低い,0.1362337403986347,累進
9353.T,"Sakurajima Futo Kaisha, Ltd.",2730.0,74,0.01978021978021978,0.023540733045778812,0.026982374501656095,4177217536.0,超小型,資本財・サービス,,×,ROE低い,0.2037037037037037,累進
9663.T,"NAGAWA Co., Ltd.",5080.0,89,0.01968503937007874,0.015170797701180828,0.021253985122210415,76873162752.0,小型,資本財・サービス,,△,,0.0507122507122507,
8267.T,"Aeon Co., Ltd.",1372.0,85,0.01967930029154519,0.012088878349637459,0.023210419620765917,3614595350528.0,超大型,一般消費財・サービス,Split,△,自己資本比率低い,0.0310029336151324,累進
7004.T,Kanadevia Corporation,1271.0,85,0.01966955153422502,0.027016905977367944,0.03314205984698661,211970523136.0,中型,資本財・サービス,,×,自己資本比率低い,0.096081588835212,累進
4275.T,"Carlit Co., Ltd.",2157.0,78,0.019471488178025034,0.02748268003754332,0.04189540213474598,47658987520.0,小型,素材,,×,現金比率低い,0.1693602693602693,累進
6824.T,"New Cosmos Electric Co.,Ltd.",4925.0,79,0.019289340101522844,0.023447352567854293,0.02934056787179165,57802756096.0,小型,情報技術,,×,,0.1136924275222147,累進
3772.T,"Wealth Management, Inc.",1037.0,45,0.019286403085824494,0.020575260720035217,0.023697940359122732,20616910848.0,超小型,不動産,,×,営業CF合計マイナス/自己資本比率低い/ROE低い/EPS低い,0.3115124412338035,累進
7745.T,"A&D HOLON Holdings Company, Limited",2860.0,97,0.019230769230769232,0.020947643115650682,0.03376726800872871,78930255872.0,小型,情報技術,,×,,0.1644179894179894,累進
5906.T,"MK Seiko Co., Ltd.",783.0,86,0.019157088122605363,0.021798556638989115,0.02554532103860814,10917797888.0,超小型,情報技術,,×,,0.0333333333333333,
5334.T,"Niterra Co., Ltd.",10710.0,81,0.019140989729225025,0.02890799978480111,0.04864646908321958,2118142656512.0,超大型,一般消費財・サービス,,×,現金比率低い,0.20279885354481,
